index	source	source_id	English_name	Chinese_name	clean_name	name2	note1	note2	group1	group2	stat_standard	stat_shape	stat_cook	stat_storage	stat_meat	stat_seasoning	edible	Energy_kcal	Energy_kJ	Water	Protein	Fat	Ash	Fiber	Carbohydrate	Sugar	Alcohol	Caffeine	saturated_fat_acid	monounsat_fat_acid	polyunsat_fat_acid	trans_fat_acid	Cholesterol	Phytosterol	Fructose	VA_RAE	VA_IU	Retinol	Carotene	Thiamin	Riboflavin	Niacin	Nicotincin	VB6	VB12	VC	VD	VE	Tocopherol.gama	VK	Folate	Choline	Ca	Fe	Mg	p	K	Na	Zn	Cu	Mn	Se	Tryptophan	Threonine	Isoleucine	Leucine	Lysine	Methionine	Phenylalanine	Valine	Arginine	Histidine	F18D2	F18D3	F18D4	F20D4	F20D5	F22D5	F22D6	others	total_name	key_name_cn
China_52008	China	52008		紫菜（干）	紫菜		（干）		菌藻类	藻类			干		NA		100	250	1046	12.7	26.7	1.1	15.4	21.6	44.1	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.228	0	1.37	0.27	1.02	7.3	0	0	0	2	NA	1.82	NA	NA	0	NA	264	54.9	105	350	1796	0	2.47	1.68	4.32	0.00722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 52008; name: 紫菜（干）; pinyin: ZC（G）; cateno: 52; category_lvl1_id: 5; category_lvl2_id: 52; a_vit_e: 1.61; i: 4.323	紫菜	紫菜
China_81110	China	81110		猪肉（瘦）	猪肉		（瘦）		蓄肉类及制品	猪					NA		100	143	598	71	20.3	6.2	1	0	1.5	NA	0	NA	NA	NA	NA	NA	81	NA	NA	NA	0.044	0.044	0	0.54	0.1	5.3	0	0	0	0	NA	0.34	NA	NA	0	NA	6	3	25	189	305	57.5	2.99	0.11	0.03	0.0095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 81110; name: 猪肉（瘦）; pinyin: ZR（S）; cateno: 81; category_lvl1_id: 8; category_lvl2_id: 81; a_vit_e: 0.29; i: 0.0017	猪肉	猪肉
China_81101	China	81101		猪肉（肥瘦）（均值）	猪肉		（均值）		蓄肉类及制品	猪					NA		100	395	1653	46.8	13.2	37	0.6	0	2.4	NA	0	NA	NA	NA	NA	NA	80	NA	NA	NA	0.018	0.018	0	0.22	0.16	3.5	0	0	0	0	NA	0.35	NA	NA	0	NA	6	1.6	16	162	204	59.4	2.06	0.06	0.03	0.01197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 81101; name: 猪肉（肥瘦）（均值）; pinyin: ZR（FS）（JZ）; cateno: 81; category_lvl1_id: 8; category_lvl2_id: 81; a_vit_e: 0.35; i: 0.0017	猪肉	猪肉
China_81204	China	81204		猪肝	猪肝				蓄肉类及制品	猪					NA		99	129	540	70.7	19.3	3.5	1.5	0	5	NA	0	NA	NA	NA	NA	NA	288	NA	NA	NA	4.972	4.972	0	0.21	2.08	15	0	0	0	20	NA	0.86	NA	NA	0	NA	6	22.6	24	310	235	68.6	5.78	0.65	0.26	0.01921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 81204; name: 猪肝; pinyin: ZG; cateno: 81; category_lvl1_id: 8; category_lvl2_id: 81; a_vit_e: 0.86; i: 0	猪肝	猪肝
China_81114	China	81114		猪大排	猪大排				蓄肉类及制品	猪					NA		68	264	1105	58.8	18.3	20.4	0.8	0	1.7	NA	0	NA	NA	NA	NA	NA	165	NA	NA	NA	0.012	0.012	0	0.8	0.15	5.3	0	0	0	0	NA	0.11	NA	NA	0	NA	8	0.8	17	125	274	44.5	1.72	0.12	0.05	0.0103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 81114; name: 猪大排; pinyin: ZDP; cateno: 81; category_lvl1_id: 8; category_lvl2_id: 81; a_vit_e: 0.11; i: 0	猪大排	猪大排
China_63909	China	63909		中华猕猴桃[毛叶猕猴桃]	中华猕猴桃			[毛叶猕猴桃]	水果类及制品	浆果类					NA		83	61	255	83.4	0.8	0.6	0.7	2.6	14.5	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.022	0	0.13	0.05	0.02	0.3	0	0	0	62	NA	2.43	NA	NA	0	NA	27	1.2	12	26	144	0	0.57	1.87	0.73	0.00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 63909; name: 中华猕猴桃[毛叶猕猴桃]; pinyin: ZHHT[MYHT]; cateno: 63; category_lvl1_id: 6; category_lvl2_id: 63; a_vit_e: 0.77; i: 0	中华猕猴桃	中华猕猴桃
China_72017	China	72017		芝麻籽（黑）	芝麻籽		（黑）		坚果、种子类	种子					NA		100	559	2339	5.7	19.1	46.1	5.1	14	24	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.66	0.25	5.9	0	0	0	0	NA	50.4	NA	NA	0	NA	780	22.7	290	516	358	0	6.13	1.77	17.85	0.0047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 72017; name: 芝麻籽（黑）; pinyin: ZMZ（H）; cateno: 72; category_lvl1_id: 7; category_lvl2_id: 72; a_vit_e: 0; i: 0	芝麻籽	芝麻籽
China_72016	China	72016		芝麻籽（白）	芝麻籽		（白）		坚果、种子类	种子					NA		100	536	2243	5.3	18.4	39.6	5.2	9.8	31.5	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.36	0.26	3.8	0	0	0	0	NA	38.28	NA	NA	0	NA	620	14.1	202	513	266	0	4.21	1.41	1.17	0.00406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 72016; name: 芝麻籽（白）; pinyin: ZMZ（B）; cateno: 72; category_lvl1_id: 7; category_lvl2_id: 72; a_vit_e: 0; i: 0	芝麻籽	芝麻籽
China_192017	China	192017		芝麻油[香油]	芝麻油			[香油]	油脂	植物油					NA		100	898	3757	0.1	0	99.7	0	0	0.2	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	68.53	NA	NA	0	NA	9	2.2	3	4	0	1.1	0.17	0.05	0.76	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 192017; name: 芝麻油[香油]; pinyin: ZMY[XY]; cateno: 192; category_lvl1_id: 19; category_lvl2_id: 192; a_vit_e: 1.77; i: 0	芝麻油	芝麻油
China_71038	China	71038		榛子仁（熟）	榛子仁		（熟）		坚果、种子类	树坚果					NA		100	628	2597	2.2	15.6	52.9	2.6	0	26.7	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	0.19	0.12	NA	1.2	0	0	0	NA	22.18	NA	NA	0	NA	86	4.2	168	336	807	0	2.22	1.39	2.9	0.00112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 71038; name: 榛子仁（熟）; pinyin: ZZR（S）; cateno: 71; category_lvl1_id: 7; category_lvl2_id: 71; a_vit_e: NA; i: 0	榛子仁	榛子仁
China_71024	China	71024		榛子（干）	榛子		（干）		坚果、种子类	树坚果			干		NA		27	561	2347	7.4	20	44.8	3.5	9.6	24.3	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.008	0	0.05	0.62	0.14	2.5	0	0	0	0	NA	36.43	NA	NA	0	NA	104	6.4	420	422	1244	0	5.83	3.03	14.94	0.00078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 71024; name: 榛子（干）; pinyin: Z（G）; cateno: 71; category_lvl1_id: 7; category_lvl2_id: 71; a_vit_e: 29.22; i: 0.0063	榛子	榛子
China_62301	China	62301		枣（鲜）	枣		（鲜）		水果类及制品	核果类				鲜	NA		87	125	523	67.4	1.1	0.3	0.7	1.9	30.5	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.04	0	0.24	0.06	0.09	0.9	0	0	0	243	NA	0.78	NA	NA	0	NA	22	1.2	25	23	375	0	1.52	0.06	0.32	8e-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 62301; name: 枣（鲜）; pinyin: Z（X）; cateno: 62; category_lvl1_id: 6; category_lvl2_id: 62; a_vit_e: 0.42; i: 0	枣	枣
China_62302	China	62302		枣（干）	枣		（干）		水果类及制品	核果类			干		NA		80	276	1155	26.9	3.2	0.5	1.6	6.2	67.8	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.002	0	0.01	0.04	0.16	0.9	0	0	0	14	NA	3.04	NA	NA	0	NA	64	2.3	36	51	524	0	0.65	0.27	0.39	0.00102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 62302; name: 枣（干）; pinyin: Z（G）; cateno: 62; category_lvl1_id: 6; category_lvl2_id: 62; a_vit_e: 0.88; i: 0	枣	枣
China_45201	China	45201		圆白菜，卷心菜	圆白菜，卷心菜				蔬菜类及制品	嫩茎、叶、花菜类					NA		86	24	100	93.2	1.5	0.2	0.5	1	4.6	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.012	0	0.07	0.03	0.03	0.4	0	0	0	40	NA	0.5	NA	NA	0	NA	49	0.6	12	26	124	0	0.25	0.04	0.18	0.00096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 45201; name: 圆白菜，卷心菜; pinyin: GL[YBCJXC]; cateno: 45; category_lvl1_id: 4; category_lvl2_id: 45; a_vit_e: 0.21; i: 0	圆白菜，卷心菜	圆白菜，卷心菜
China_47203	China	47203		芋头[芋艿、毛芋]	芋头			[芋艿、毛芋]	蔬菜类及制品	薯芋类					NA		84	56	236	78.6	1.3	0.2	0.8	1	12.7	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.001	0	0	0.05	0.02	0	0.28	0	0	1.5	NA	0	NA	NA	0	NA	11	0.3	19	50	25	0	0.19	0.06	0.3	0.00091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 47203; name: 芋头[芋艿、毛芋]; pinyin: YT[YMY]; cateno: 47; category_lvl1_id: 4; category_lvl2_id: 47; a_vit_e: 0; i: 0	芋头	芋头
China_192016	China	192016		玉米油	玉米油				油脂	植物油					NA		100	895	3745	0.2	0	99.2	0.1	0	0.5	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	50.94	NA	NA	0	NA	1	1.4	3	18	2	1.4	0.26	0.23	0.04	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 192016; name: 玉米油; pinyin: YMY; cateno: 192; category_lvl1_id: 19; category_lvl2_id: 192; a_vit_e: 14.42; i: 0	玉米油	玉米油
China_13109	China	13109		玉米面（黄）	玉米面		（黄）		谷类及制品	玉米					NA		100	350	1483	11.2	8.5	1.5	1.3	5.6	78.4	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.007	0	0	0.26	0.09	0	0	0	0	0	NA	3.8	NA	NA	0	NA	22	3.2	84	196	249	0	1.42	0.35	0.47	0.00249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 13109; name: 玉米面（黄）; pinyin: YMM（H）; cateno: 13; category_lvl1_id: 1; category_lvl2_id: 13; a_vit_e: 0; i: 0	玉米面	玉米面
China_13101	China	13101		玉米（鲜）	玉米		（鲜）		谷类及制品	玉米				鲜	NA		46	112	469	71.3	4	1.2	0.7	2.9	22.8	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.16	0.11	1.8	0	0	0	16	NA	0.46	NA	NA	0	NA	0	1.1	32	117	238	0	0.9	0.09	0.22	0.00163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 13101; name: 玉米（鲜）; pinyin: YM（X）; cateno: 13; category_lvl1_id: 1; category_lvl2_id: 13; a_vit_e: 0; i: 0	玉米	玉米
China_45213	China	45213		羽衣甘蓝	羽衣甘蓝				蔬菜类及制品	嫩茎、叶、花菜类					NA		100	69	289	87.2	5	0.4	1.7	3.2	5.7	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0.364	NA	NA	0.07	0.18	NA	1.09	0	0	63	NA	1.12	NA	NA	0	NA	66	1.6	53	82	395	0	0.56	0.06	0.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 45213; name: 羽衣甘蓝; pinyin: YYGL; cateno: 45; category_lvl1_id: 4; category_lvl2_id: 45; a_vit_e: NA; i: 0	羽衣甘蓝	羽衣甘蓝
China_64301	China	64301		柚[文旦]	柚			[文旦]	水果类及制品	柑橘类					NA		69	42	176	89	0.8	0.2	0.5	0.4	9.5	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.002	0	0.01	0	0.03	0.3	0	0	0	23	NA	0	NA	NA	0	NA	4	0.3	4	24	119	0	0.4	0.18	0.08	7e-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 64301; name: 柚[文旦]; pinyin: [WD]; cateno: 64; category_lvl1_id: 6; category_lvl2_id: 64; a_vit_e: 0; i: 0	柚	柚
China_45334	China	45334		油麦菜	油麦菜				蔬菜类及制品	嫩茎、叶、花菜类					NA		81	12	50	95.9	1.1	0.4	0.5	0	2.1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0.063	NA	NA	0.03	0.07	NA	0.56	0	0	2	NA	0.45	NA	NA	0	NA	60	0.5	23	26	164	0	0.24	0.02	0.06	0.00016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 45334; name: 油麦菜; pinyin: YMC; cateno: 45; category_lvl1_id: 4; category_lvl2_id: 45; a_vit_e: NA; i: 0	油麦菜	油麦菜
China_45126	China	45126		油菜心	油菜心				蔬菜类及制品	嫩茎、叶、花菜类					NA		100	15	63	95.1	1.3	0.4	0.5	0	2.7	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	0.02	0.06	NA	0.41	0	0	0	NA	0.16	NA	NA	0	NA	74	0.6	25	26	166	0	0.19	0.04	0.07	0.00026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 45126; name: 油菜心; pinyin: YCX; cateno: 45; category_lvl1_id: 4; category_lvl2_id: 45; a_vit_e: NA; i: 0	油菜心	油菜心
China_45115	China	45115		油菜（小）	油菜		（小）		蔬菜类及制品	嫩茎、叶、花菜类					NA		95	12	50	96	1.3	0.2	0.9	0.7	1.6	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.243	0	1.46	0.01	0.08	0	0	0	0	7	NA	0.76	NA	NA	0	NA	153	3.9	27	41	157	0	0.87	0	0.13	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 45115; name: 油菜（小）; pinyin: YC（X）; cateno: 45; category_lvl1_id: 4; category_lvl2_id: 45; a_vit_e: 0.6; i: 0	油菜	油菜
China_45125	China	45125		油菜	油菜				蔬菜类及制品	嫩茎、叶、花菜类					NA		96	14	57	95.6	1.3	0.5	0.9	0	2	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.09	0	0	0.02	0.05	0	0.55	0	0	0	NA	0	NA	NA	0	NA	148	0.9	25	23	175	0	0.31	0.03	0.03	0.00073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 45125; name: 油菜; pinyin: YC; cateno: 45; category_lvl1_id: 4; category_lvl2_id: 45; a_vit_e: 0; i: 0	油菜	油菜
China_39401	China	39401		鹰嘴豆[桃豆]	鹰嘴豆			[桃豆]	干豆类及制品	干豆类其他					NA		100	340	1433	11.3	21.2	4.2	3.3	11.6	60.1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0.007	NA	NA	0.41	0.25	NA	0	0	0	3.5	NA	11.61	NA	NA	0	NA	150	3.4	210	450	830	0	1.5	0.44	2.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 39401; name: 鹰嘴豆[桃豆]; pinyin: YZD（TD）; cateno: 39; category_lvl1_id: 3; category_lvl2_id: 39; a_vit_e: NA; i: 0	鹰嘴豆	鹰嘴豆
China_43120	China	43120		樱桃番茄[小西红柿]	樱桃番茄			[小西红柿]	蔬菜类及制品	茄果、瓜菜类					NA		98	25	107	92.5	1	0.2	0.5	0	5.8	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0.028	NA	NA	0.03	0.02	NA	0.92	0	0	33	NA	0.98	NA	NA	0	NA	6	0.3	12	26	262	0	0.2	0.04	0.06	2e-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 43120; name: 樱桃番茄[小西红柿]; pinyin: YTFQ[XXHS]; cateno: 43; category_lvl1_id: 4; category_lvl2_id: 43; a_vit_e: NA; i: 0	樱桃番茄	樱桃番茄
China_62902	China	62902		樱桃	樱桃				水果类及制品	核果类					NA		80	46	192	88	1.1	0.2	0.5	0.3	10.2	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.035	0	0.21	0.02	0.02	0.6	0	0	0	10	NA	2.22	NA	NA	0	NA	11	0.4	12	27	232	0	0.23	0.1	0.07	0.00021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 62902; name: 樱桃; pinyin: YT; cateno: 62; category_lvl1_id: 6; category_lvl2_id: 62; a_vit_e: 0.26; i: 0	樱桃	樱桃
China_51024	China	51024		银耳（干）[白木耳]	银耳		（干）	[白木耳]	菌藻类	菌类			干		NA		96	261	1092	14.6	10	1.4	6.7	30.4	67.3	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.008	0	0.05	0.05	0.25	5.3	0	0	0	0	NA	1.26	NA	NA	0	NA	36	4.1	54	369	1588	0	3.03	0.08	0.17	0.00295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 51024; name: 银耳（干）[白木耳]; pinyin: YE（G）[BME]; cateno: 51; category_lvl1_id: 5; category_lvl2_id: 51; a_vit_e: 0; i: 0	银耳	银耳
China_19008	China	19008		薏米[薏仁米，苡米]	薏米			[薏仁米，苡米]	谷类及制品	谷类其他					NA		100	361	1512	11.2	12.8	3.3	1.6	2	71.1	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.22	0.15	2	0	0	0	0	NA	2.08	NA	NA	0	NA	42	3.6	88	217	238	0	1.68	0.29	1.37	0.00307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 19008; name: 薏米[薏仁米，苡米]; pinyin: M[RMM]; cateno: 19; category_lvl1_id: 1; category_lvl2_id: 19; a_vit_e: 1.48; i: 0	薏米	薏米
China_65017	China	65017		椰子	椰子				水果类及制品	热带、亚热带水果					NA		33	241	1008	51.8	4	12.1	0.8	4.7	31.3	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.01	0.01	0.5	0	0	0	6	NA	0	NA	NA	0	NA	2	1.8	65	90	475	0	0.92	0.19	0.06	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 65017; name: 椰子; pinyin: YZ; cateno: 65; category_lvl1_id: 6; category_lvl2_id: 65; a_vit_e: 0; i: 0	椰子	椰子
China_71036	China	71036		腰果（熟）	腰果		（熟）		坚果、种子类	树坚果					NA		100	615	2544	2.1	24	50.9	2.6	10.4	20.4	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.004	0	0	0.09	0.52	0	1.3	0	0	0	NA	6.7	NA	NA	0	NA	19	7.4	595	639	680	0	5.3	2.57	1.19	0.01093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 71036; name: 腰果（熟）; pinyin: YG; cateno: 71; category_lvl1_id: 7; category_lvl2_id: 71; a_vit_e: 0; i: 0	腰果	腰果
China_44301	China	44301		洋葱（鲜）[葱头]	洋葱		（鲜）	[葱头]	蔬菜类及制品	葱蒜类				鲜	NA		90	40	169	89.2	1.1	0.2	0.5	0.9	9	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.003	0	0.02	0.03	0.03	0.3	0	0	0	8	NA	0.14	NA	NA	0	NA	24	0.6	15	39	147	0	0.23	0.05	0.14	0.00092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 44301; name: 洋葱（鲜）[葱头]; pinyin: YC[CT]; cateno: 44; category_lvl1_id: 4; category_lvl2_id: 44; a_vit_e: 0; i: 0.0012	洋葱	洋葱
China_65016	China	65016		杨桃	杨桃				水果类及制品	热带、亚热带水果					NA		88	31	130	91.4	0.6	0.2	0.4	1.2	7.4	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.003	0	0.02	0.02	0.03	0.7	0	0	0	7	NA	0	NA	NA	0	NA	4	0.4	10	18	128	0	0.39	0.04	0.36	0.00083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 65016; name: 杨桃; pinyin: YT; cateno: 65; category_lvl1_id: 6; category_lvl2_id: 65; a_vit_e: 0; i: 0	杨桃	杨桃
China_65015	China	65015		杨梅[树梅，山杨梅]	杨梅			[树梅，山杨梅]	水果类及制品	热带、亚热带水果					NA		82	30	126	92	0.8	0.2	0.3	1	6.7	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.007	0	0.04	0.01	0.05	0.3	0	0	0	9	NA	0.81	NA	NA	0	NA	14	1	10	8	149	0	0.14	0.02	0.72	0.00031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 65015; name: 杨梅[树梅，山杨梅]; pinyin: YM[SMSYM]; cateno: 65; category_lvl1_id: 6; category_lvl2_id: 65; a_vit_e: 0.81; i: 0	杨梅	杨梅
China_83108	China	83108		羊肉（瘦）	羊肉		（瘦）		蓄肉类及制品	羊					NA		90	118	494	74.2	20.5	3.9	1.2	0	0.2	NA	0	NA	NA	NA	NA	NA	60	NA	NA	NA	0.011	0.011	0	0.15	0.16	5.2	0	0	0	0	NA	0.31	NA	NA	0	NA	9	3.9	22	196	403	69.4	6.06	0.12	0.03	0.00718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 83108; name: 羊肉（瘦）; pinyin: YR（S）; cateno: 83; category_lvl1_id: 8; category_lvl2_id: 83; a_vit_e: 0; i: 0.0077	羊肉	羊肉
China_83101	China	83101		羊肉（肥瘦）（均值）	羊肉		（均值）		蓄肉类及制品	羊					NA		90	203	849	65.7	19	14.1	1.2	0	0	NA	0	NA	NA	NA	NA	NA	92	NA	NA	NA	0.022	0.022	0	0.05	0.14	4.5	0	0	0	0	NA	0.26	NA	NA	0	NA	6	2.3	20	146	232	80.6	3.22	0.75	0.02	0.0322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 83101; name: 羊肉（肥瘦）（均值）; pinyin: YR（FS）（JZ）; cateno: 83; category_lvl1_id: 8; category_lvl2_id: 83; a_vit_e: 0.05; i: 0.0077	羊肉	羊肉
China_19012	China	19012		燕麦	燕麦				谷类及制品	谷类其他					NA		100	338	1433	10.2	10.1	0.2	2.1	6	77.4	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	0.46	0.07	NA	0	0	0	0	NA	0.91	NA	NA	0	NA	58	2.9	116	342	356	0	1.75	0.21	3.91	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 19012; name: 燕麦; pinyin: YM; cateno: 19; category_lvl1_id: 1; category_lvl2_id: 19; a_vit_e: NA; i: 0	燕麦	燕麦
China_92207	China	92207		鸭血（白鸭）	鸭血		（白鸭）		禽肉类及制品	鸭					NA		100	108	452	72.6	13.6	0.4	1	0	12.4	NA	0	NA	NA	NA	NA	NA	95	NA	NA	NA	0	0	0	0.06	0.06	0	0	0	0	0	NA	0.34	NA	NA	0	NA	5	30.5	8	87	166	173.6	0.5	0.06	0.04	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 92207; name: 鸭血（白鸭）; pinyin: YX（BY）; cateno: 92; category_lvl1_id: 9; category_lvl2_id: 92; a_vit_e: 0.34; i: 0	鸭血	鸭血
China_112101	China	112101		鸭蛋	鸭蛋				蛋类及制品	鸭蛋					NA		87	180	753	70.3	12.6	13	1	0	3.1	NA	0	NA	NA	NA	NA	NA	565	NA	NA	NA	0.261	0.261	0	0.17	0.35	0.2	0	0	0	0	NA	4.98	NA	NA	0	NA	62	2.9	13	226	135	106	1.67	0.11	0.04	0.01568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 112101; name: 鸭蛋; pinyin: YD; cateno: 112; category_lvl1_id: 11; category_lvl2_id: 112; a_vit_e: 4.02; i: 0.005	鸭蛋	鸭蛋
China_92101	China	92101		鸭（均值）	鸭		（均值）		禽肉类及制品	鸭					NA		68	240	1004	63.9	15.5	19.7	0.7	0	0.2	NA	0	NA	NA	NA	NA	NA	94	NA	NA	NA	0.052	0.052	0	0.08	0.22	4.2	0	0	0	0	NA	0.27	NA	NA	0	NA	6	2.2	14	122	191	69	1.33	0.21	0.06	0.01225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 92101; name: 鸭（均值）; pinyin: Y（JZ）; cateno: 92; category_lvl1_id: 9; category_lvl2_id: 92; a_vit_e: 0.17; i: 0	鸭	鸭
China_51051	China	51051		杏鲍菇	杏鲍菇				菌藻类	菌类					NA		100	35	148	89.6	1.3	0.1	0.7	2.1	8.3	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	0.03	0.14	NA	3.68	0	0	0	NA	0.6	NA	NA	0	NA	13	0.5	9	66	242	0	0.39	0.06	0.04	0.0018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 51051; name: 杏鲍菇; pinyin: XBG; cateno: 51; category_lvl1_id: 5; category_lvl2_id: 51; a_vit_e: NA; i: 0	杏鲍菇	杏鲍菇
China_62204	China	62204		杏	杏				水果类及制品	核果类					NA		91	38	159	89.4	0.9	0.1	0.5	1.3	9.1	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.075	0	0.45	0.02	0.03	0.6	0	0	0	4	NA	0.95	NA	NA	0	NA	14	0.6	11	15	226	0	0.2	0.11	0.06	2e-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 62204; name: 杏; pinyin: X; cateno: 62; category_lvl1_id: 6; category_lvl2_id: 62; a_vit_e: 0.95; i: 0	杏	杏
