index	source	source_id	English_name	Chinese_name	clean_name	name2	note1	note2	group1	group2	stat_standard	stat_shape	stat_cook	stat_storage	stat_meat	stat_seasoning	edible	Energy_kcal	Energy_kJ	Water	Protein	Fat	Ash	Fiber	Carbohydrate	Sugar	Alcohol	Caffeine	saturated_fat_acid	monounsat_fat_acid	polyunsat_fat_acid	trans_fat_acid	Cholesterol	Phytosterol	Fructose	VA_RAE	VA_IU	Retinol	Carotene	Thiamin	Riboflavin	Niacin	Nicotincin	VB6	VB12	VC	VD	VE	Tocopherol.gama	VK	Folate	Choline	Ca	Fe	Mg	p	K	Na	Zn	Cu	Mn	Se	Tryptophan	Threonine	Isoleucine	Leucine	Lysine	Methionine	Phenylalanine	Valine	Arginine	Histidine	F18D2	F18D3	F18D4	F20D4	F20D5	F22D5	F22D6	others	total_name	key_name_cn
China_42104	China	42104		豆角	豆角				蔬菜类及制品	鲜豆类					NA		96	34	142	90	2.5	0.2	0.6	2.1	6.7	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.033	0	0.2	0.05	0.07	0.9	0	0	0	18	NA	2.24	NA	NA	0	NA	29	1.5	35	55	207	0	0.54	0.15	0.41	0.00216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 42104; name: 豆角; pinyin: DJ; cateno: 42; category_lvl1_id: 4; category_lvl2_id: 42; a_vit_e: 0.23; i: 0	豆角	豆角
China_31203	China	31203		豆浆粉	豆浆粉				干豆类及制品	大豆					NA		100	426	1783	1.5	19.7	9.4	2.6	2.2	66.8	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.07	0.05	0.7	0	0	0	0	NA	17.99	NA	NA	0	NA	101	3.7	122	253	771	0	1.77	0.69	1.24	0.0033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 31203; name: 豆浆粉; pinyin: DJF; cateno: 31; category_lvl1_id: 3; category_lvl2_id: 31; a_vit_e: 2.06; i: 0	豆浆粉	豆浆粉
China_31405	China	31405		豆浆	豆浆				干豆类及制品	大豆					NA		100	31	128	93.8	3	1.6	0.4	0	1.2	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.01	0	0	0.02	0.02	0	0.14	0	0	0	NA	1.06	NA	NA	0	NA	5	0.4	15	42	117	0	0.28	0.16	0.16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 31405; name: 豆浆; pinyin: DJ; cateno: 31; category_lvl1_id: 3; category_lvl2_id: 31; a_vit_e: 0; i: 0	豆浆	豆浆
China_31501	China	31501		豆腐丝	豆腐丝				干豆类及制品	大豆					NA		100	203	850	58.4	21.5	10.5	3.4	1.1	6.2	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.005	0	0.03	0.04	0.12	0.5	0	0	0	0	NA	9.76	NA	NA	0	NA	204	9.1	127	220	74	0	2.04	0.29	1.71	0.00139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 31501; name: 豆腐丝; pinyin: DFS; cateno: 31; category_lvl1_id: 3; category_lvl2_id: 31; a_vit_e: 0; i: 0	豆腐丝	豆腐丝
China_31527	China	31527		豆腐皮	豆腐皮				干豆类及制品	大豆					NA		100	447	1868	9.4	51.6	23	3.5	0	12.5	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.023	0	0	0.22	0.12	0	0.91	0	0	0	NA	46.55	NA	NA	0	NA	239	11.7	179	494	877	0	4.08	1.17	2.71	0.00226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 31527; name: 豆腐皮; pinyin: DFP; cateno: 31; category_lvl1_id: 3; category_lvl2_id: 31; a_vit_e: 0; i: 0.0462	豆腐皮	豆腐皮
China_31305	China	31305		豆腐脑[老豆腐]	豆腐脑			[老豆腐]	干豆类及制品	大豆					NA		100	15	62	96.7	1.9	0.8	0.6	0	0	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.04	0.02	0.4	0	0	0	0	NA	10.46	NA	NA	0	NA	18	0.9	28	5	107	0	0.49	0.26	0.25	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 31305; name: 豆腐脑[老豆腐]; pinyin: DFN[LDF]; cateno: 31; category_lvl1_id: 3; category_lvl2_id: 31; a_vit_e: 0; i: 0.0077	豆腐脑	豆腐脑
China_31504	China	31504		豆腐卷	豆腐卷				干豆类及制品	大豆					NA		100	203	849	61.6	17.9	11.6	1.7	1	7.2	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.03	0	0.18	0.02	0.04	0.4	0	0	0	0	NA	27.63	NA	NA	0	NA	156	6.1	152	288	82	0	2.76	0.42	1.66	0.00251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 31504; name: 豆腐卷; pinyin: DFJ; cateno: 31; category_lvl1_id: 3; category_lvl2_id: 31; a_vit_e: 1.47; i: 0.0462	豆腐卷	豆腐卷
China_31202	China	31202		豆腐花[豆腐粉]	豆腐花			[豆腐粉]	干豆类及制品	大豆					NA		100	401	1676	1.6	10	2.6	1.5	0	84.3	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.042	0	0.25	0.02	0.03	0.4	0	0	0	0	NA	5	NA	NA	0	NA	175	3.3	60	95	339	0	0.75	0.28	0.52	0.0017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 31202; name: 豆腐花[豆腐粉]; pinyin: DFH[DFF]; cateno: 31; category_lvl1_id: 3; category_lvl2_id: 31; a_vit_e: 0; i: 0	豆腐花	豆腐花
China_31510	China	31510		豆腐干（代表值）	豆腐干		（代表值）		干豆类及制品	大豆					NA		100	197	823	61.3	14.9	11.3	3.1	0	9.6	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0.002	0	0	0.02	0.05	0.3	0.4	0	0	0	NA	13	NA	NA	0	NA	447	7.1	69	174	137	0	1.84	0.41	1.07	0.00712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 31510; name: 豆腐干（代表值）; pinyin: DFG（JZ）; cateno: 31; category_lvl1_id: 3; category_lvl2_id: 31; a_vit_e: 0; i: 0.0462	豆腐干	豆腐干
China_31304	China	31304		豆腐（内酯）	豆腐		（内酯）		干豆类及制品	大豆					NA		100	50	209	89.2	5	1.9	0.6	0.4	3.3	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0	0.06	0.03	0.3	0	0	0	0	NA	3.26	NA	NA	0	NA	17	0.8	24	57	95	0	0.55	0.13	0.26	0.00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no: 31304; name: 豆腐（内酯）; pinyin: DF（N）; cateno: 31; category_lvl1_id: 3; category_lvl2_id: 31; a_vit_e: 0; i: 0.0077	豆腐	豆腐
